PROBEID,CHR,CHRLOC,SYMBOL
206947_at,chr21,41029254,B3GALT5
206949_s_at,chr1,155294218,RUSC1
206950_at,chr2,-167051697,SCN9A
206951_at,chr6,26204873,HIST1H4E
206953_s_at,chr1,82266082,LPHN2
206954_at,chr11,32457285,WT1-AS
206955_at,chr9,-33384948,AQP7
206956_at,chr1,156211951,BGLAP
206957_at,chr2,241808162,AGXT
206960_at,chrX,78003206,LPAR4
206961_s_at,chr6,-41873092,MED20
206964_at,chr2,-73927636,NAT8B
206966_s_at,chr13,-74260149,KLF12
206967_at,chr12,-49082241,CCNT1
206968_s_at,chr11,-129733670,NFRKB
206969_at,chr17,-39533921,KRT34
206970_at,chr1,205012340,CNTN2
206973_at,chr12,-81652045,PPFIA2
206974_at,chr3,45984973,CXCR6
206975_at,chr6,31540071,LTA
206976_s_at,chr13,-31710763,HSPH1
206977_at,chr11,-13513601,PTH
206978_at,chr3,46395235,CCR2
206979_at,chr1,-57394883,C8B
206981_at,chr17,-62015914,SCN4A
206982_at,chr17,27573875,CRYBA1
206983_at,chr6,167525295,CCR6
206984_s_at,chr18,-40323192,RIT2
206985_at,chr9,-98997589,HSD17B3
206988_at,chr19,8117646,CCL25
206989_s_at,chr12,-46312914,SCAF11
206990_at,chr1,-175291935,TNR
206991_s_at,chr3,46411633,CCR5
206994_at,chr20,-23666277,CST4
206995_x_at,chr17,-1537152,SCARF1
206998_x_at,chr12,-11418857,PRB3
206999_at,chr1,67773047,IL12RB2
207002_s_at,chr6,-144261437,PLAGL1
207003_at,chr6,-42151022,GUCA1B
207008_at,chr2,218990736,CXCR2
207009_at,chr4,-41746099,PHOX2B
207010_at,chr4,47033295,GABRB1
207011_s_at,chr6,43044006,PTK7
207012_at,chr8,-89049460,MMP16
207014_at,chr4,-46251581,GABRA2
207016_s_at,chr15,-58245622,ALDH1A2
207018_s_at,chr18,52495708,RAB27B
207019_s_at,chrX,-49955420,AKAP4
207020_at,chr21,-44949072,HSF2BP
207021_at,chr7,-49977024,ZPBP
207022_s_at,chr11,18433853,LDHC
207024_at,chr2,233390870,CHRND
207025_at,chr1,228337415,GJC2
207026_s_at,chrX,152801580,ATP2B3
207027_at,chr4,3443726,HGFAC
207028_at,chr2,-16080020,MYCNOS
207029_at,chr12,-88886570,KITLG
207030_s_at,chr12,-77252496,CSRP2
207031_at,chr4,-13542454,NKX3-2
207032_s_at,chr6,-49801979,CRISP1
207033_at,chr11,-59596746,GIF
207034_s_at,chr2,121554867,GLI2
207035_at,chr2,-27477440,SLC30A3
207036_x_at,chr19,48898132,GRIN2D
207037_at,chr18,59992548,TNFRSF11A
207038_at,chr17,-66263167,SLC16A6
207039_at,chr9,-21967751,CDKN2A
207041_at,chr1,-11104855,MASP2
207042_at,chr1,-23832920,E2F2
207043_s_at,chr1,-44462155,SLC6A9
207044_at,chr3,-24158645,THRB
207046_at,chr1,-149832330,HIST2H4A
207047_s_at,chr1,16348486,CLCNKA
207048_at,chr3,10857917,SLC6A11
207049_at,chr12,51985020,SCN8A
207050_at,chr7,-81579418,CACNA2D1
207051_at,chr6,25754927,SLC17A4
207052_at,chr5,-156456531,HAVCR1
207053_at,chr2,-40339286,SLC8A1
207054_at,chr6,-76631062,IMPG1
207055_at,chr1,202092029,GPR37L1
207056_s_at,chr12,51818594,SLC4A8
207057_at,chr12,60083118,SLC16A7
207058_s_at,chr6,-161768590,PARK2
207059_at,chr14,37126773,PAX9
207060_at,chr7,155250824,EN2
207061_at,chr17,-62120390,ERN1
207062_at,chr12,21525802,IAPP
207064_s_at,chr17,40996609,AOC2
207065_at,chr12,-52817854,KRT75
207066_at,chr19,-49654456,HRC
207067_s_at,chr15,-50534146,HDC
207068_at,chr9,-115804174,ZFP37
207069_s_at,chr15,66994674,SMAD6
207070_at,chr10,86004809,RGR
207071_s_at,chr9,32384601,ACO1
207072_at,chr2,103035254,IL18RAP
207073_at,chr4,-76501704,CDKL2
207074_s_at,chr8,-20002366,SLC18A1
207076_s_at,chr9,133320094,ASS1
207077_at,chr1,15802596,CELA2B
207079_s_at,chr14,-71050957,MED6
207080_s_at,chr17,-42030107,PYY
207084_at,chr6,99282580,POU3F2
207086_x_at,chrX,49216649,GAGE4
207089_at,chr10,-115348583,NRAP
207091_at,chr12,121570631,P2RX7
207092_at,chr7,127881331,LEP
207093_s_at,chr17,-29621668,OMG
207094_at,chr2,-219027568,CXCR1
207095_at,chr13,-103696348,SLC10A2
207096_at,chr11,-18252902,SAA4
207097_s_at,chr6,-25912984,SLC17A2
207099_s_at,chrX,-85224099,CHM
207102_at,chr7,137761178,AKR1D1
207103_at,chr7,119913722,KCND2
207105_s_at,chr19,18264016,PIK3R2
207106_s_at,chr15,-41795840,LTK
207107_at,chr1,-68894507,RPE65
207109_at,chr11,120110903,POU2F3
207110_at,chr17,21279699,KCNJ12
207111_at,chr19,6887560,EMR1
207112_s_at,chr4,144257983,GAB1
207113_s_at,chr6,2874145,TNF
207114_at,chr6,-31686425,LY6G6C
207116_s_at,chr19,36024314,GAPDHS
207117_at,chr7,-64434830,ZNF117
207118_s_at,chr1,1567560,MMP23B
207120_at,chr19,-56950693,ZNF667
207121_s_at,chr15,52311411,MAPK6
207122_x_at,chr16,-28603264,SULT1A2
207123_s_at,chr20,-43922087,MATN4
207124_s_at,chr15,-52413123,GNB5
207125_at,chr19,44617548,ZNF225
207126_x_at,chr2,234668919,UGT1A1
207128_s_at,chr19,44556164,ZNF223
207129_at,chrX,15756412,CA5B
207135_at,chr13,-47405677,HTR2A
207136_at,chrX,69488185,ARR3
207137_at,chr8,-145654163,TONSL
207138_at,chr9,96338909,PHF2
207139_at,chr19,-36041095,ATP4A
207140_at,chr2,233320833,ALPI
207141_s_at,chr2,155555093,KCNJ3
207143_at,chr7,-92234235,CDK6
207144_s_at,chrX,-71521488,CITED1
207145_at,chr2,-190920426,MSTN
207146_at,chr17,-39615765,KRT32
207147_at,chr2,-172964166,DLX2
207149_at,chr5,-21750973,CDH12
207150_at,chr10,50818347,SLC18A3
207151_at,chr7,31092076,ADCYAP1R1
207152_at,chr9,87283466,NTRK2
207153_s_at,chr1,-92711955,GLMN
207154_at,chr14,102027688,DIO3
207156_at,chr6,27100817,HIST1H2AG
207157_s_at,chr1,-84964006,GNG5
207158_at,chr12,-7801996,APOBEC1
207160_at,chr3,159706623,IL12A
207162_s_at,chr9,140772241,CACNA1B
207163_s_at,chr14,-105235687,AKT1
207166_at,chr7,93535820,GNGT1
207167_at,chr1,117544372,CD101
207168_s_at,chr5,-134670071,H2AFY
207172_s_at,chr16,-64980683,CDH11
207174_at,chr13,92050935,GPC5
207175_at,chr3,186560463,ADIPOQ
207176_s_at,chr3,-119243140,CD80
207177_at,chr1,78956728,PTGFR
207178_s_at,chr6,-116262693,FRK
207179_at,chr10,102891061,TLX1
207181_s_at,chr10,115438921,CASP7
207182_at,chr5,161112658,GABRA6
207183_at,chr12,-12813995,GPR19
207184_at,chr12,-329787,SLC6A13
207185_at,chr14,-70242552,SLC10A1
207186_s_at,chr17,65821780,BPTF
207187_at,chr19,-17935593,JAK3
207188_at,chr17,73996987,CDK3
207191_s_at,chr15,74466087,ISLR
207192_at,chr16,2286468,DNASE1L2
207193_at,chr16,-67516474,AGRP
207194_s_at,chr19,10397643,ICAM4
207195_at,chr3,1134629,CNTN6
207196_s_at,chr5,-150409504,TNIP1
207197_at,chrX,136648346,ZIC3
207198_s_at,chr2,109204757,LIMS1
207199_at,chr5,-1253287,TERT
207200_at,chrX,38211736,OTC
207201_s_at,chr6,160542863,SLC22A1
207202_s_at,chr3,119499331,NR1I2
207204_at,chr17,79495417,FSCN2
207205_at,chr19,-42125344,CEACAM4
207206_s_at,chr17,6899384,ALOX12
207207_at,chr11,7110165,RBMXL2
207209_at,chr18,580369,CETN1
207210_at,chrX,-151335634,GABRA3
207212_at,chr5,-473334,SLC9A3
207213_s_at,chr11,-119225925,USP2
207214_at,chr9,33240196,SPINK4
207216_at,chr9,-117663425,TNFSF8
207218_at,chrX,138612895,F9
207220_at,chr12,-14982245,ART4
207221_at,chr19,16999826,F2RL3
207222_at,chr16,-14766405,PLA2G10
207224_s_at,chr19,51645558,SIGLEC7
207225_at,chr17,74463630,AANAT
207226_at,chr6,27806440,HIST1H2BN
207227_x_at,chr22,-32586422,RFPL2
207228_at,chr9,-71627449,PRKACG
207229_at,chr12,-10741077,KLRAP1
207230_at,chr11,-125826713,CDON
207233_s_at,chr3,69788586,MITF
207234_at,chr9,-3224647,RFX3
207235_s_at,chr11,-88237744,GRM5
207236_at,chr19,37341260,ZNF345
207237_at,chr1,-111214310,KCNA3
207239_s_at,chrX,47078076,CDK16
207240_s_at,chr2,-48913913,LHCGR
207241_at,chr4,5526883,C4orf6
207243_s_at,chr2,-47387221,CALM2
207245_at,chr4,-69402903,UGT2B17
207247_s_at,chrY,2803518,ZFY
207248_at,chr11,-30031288,KCNA4
207249_s_at,chr15,45544428,SLC28A2
207250_at,chr14,60975938,SIX6
207251_at,chr18,29769987,MEP1B
207252_at,chrX,47064247,INE1
207256_at,chr10,-54525140,MBL2
207257_at,chr7,100318423,EPO
207258_at,chr21,-39426313,DSCR4
207260_at,chr2,-219845809,FEV
207261_at,chr2,98962618,CNGA3
207262_at,chr12,-56754355,APOF
207267_s_at,chr21,38378863,RIPPLY3
207269_at,chr8,-6793345,DEFA4
207270_x_at,chr17,-72537247,CD300C
207272_at,chr3,-113953480,ZNF80
207273_at,,,
207274_at,chr17,-4801064,CHRNE
207275_s_at,chr4,-185676749,ACSL1
207276_at,chrX,-139865425,CDR1
207277_at,chr19,-7804881,CD209
207279_s_at,chr10,-21068903,NEBL
207280_at,chr22,,RNF185-AS1
207281_x_at,chrX,-8137985,VCX2
207282_s_at,chr1,-203052257,MYOG
207289_at,chr16,3096682,MMP25
207291_at,chr11,32851481,PRRG4
207294_at,chrX,115301958,AGTR2
207295_at,chr16,23194040,SCNN1G
207298_at,chr6,-25845328,SLC17A3
207299_s_at,chr6,146348782,GRM1
207300_s_at,chr13,113760102,F7
207301_at,chr5,-106712590,EFNA5
207302_at,chr13,23755060,SGCG
207303_at,chr7,-31792632,PDE1C
207304_at,chr19,-44416776,ZNF45
207306_at,chr20,-584637,TCF15
207308_at,chr12,-21417534,SLCO1A2
207309_at,chr12,-117645947,NOS1
207311_at,chr17,-6011,DOC2B
207312_at,chr7,-56147976,PHKG1
207314_x_at,chr19,55361898,KIR3DL2
207315_at,chr18,-67530193,CD226
207316_at,chr19,-52216365,HAS1
207317_s_at,chr1,-116242626,CASQ2
207318_s_at,chr7,39989959,CDK13
207323_s_at,chr18,-74690789,MBP
207324_s_at,chr18,-28709214,DSC1
207325_x_at,chrX,-152481522,MAGEA1
207326_at,chr4,-75671448,BTC
207327_at,chr6,133562495,EYA4
207328_at,chr17,-4534214,ALOX15
207329_at,chr11,-102582526,MMP8
207330_at,chr12,-9301436,PZP
207333_at,chr6,-142396745,NMBR
207336_at,chr12,-23685231,SOX5
207337_at,chrX,-153880246,CTAG2
207338_s_at,chr16,-3272325,ZNF200
207339_s_at,chr6,-2841976,LTB
207341_at,chr19,840985,PRTN3
207342_at,chr16,-57916244,CNGB1
207343_at,chr17,-34261523,LYZL6
207344_at,chr12,-4724676,AKAP3
207345_at,chr5,52776264,FST
207346_at,chr12,-131274145,STX2
207347_at,chr10,-50664491,ERCC6
207348_s_at,chr17,33307517,LIG3
207350_s_at,chr1,-171669296,VAMP4
207351_s_at,chr1,-156776849,SH2D2A
207352_s_at,chr5,-160715436,GABRB2
207354_at,chr17,-34303535,CCL16
207355_at,chr1,-53552855,SLC1A7
207356_at,chr8,7752199,DEFB4A
207360_s_at,chr20,61340189,NTSR1
207362_at,chr15,-45774680,SLC30A4
207363_at,chrX,-18657808,RS1
207364_at,chrX,-153498930,TEX28
207366_at,chr20,-43720950,KCNS1
207367_at,chr13,25254549,ATP12A
207368_at,chr1,-23518388,HTR1D
207369_at,chrX,135570125,BRS3
207370_at,chr4,88720702,IBSP
207371_at,,,
207372_s_at,chr9,-139942551,ENTPD2
207373_at,chr2,176981492,HOXD10
207374_at,chr3,-146151075,PLSCR2
207375_s_at,chr10,-5994334,IL15RA
207376_at,chr10,135051408,VENTX
207377_at,chrX,-42636617,PPP1R2P9
207378_at,chr11,-118528942,TREH
207379_at,chr5,-83238126,EDIL3
207381_at,chr17,-7975954,ALOX12B
207383_s_at,chr16,726075,RHBDL1
207384_at,chr19,-46522412,PGLYRP1
207385_at,chrX,-132350697,TFDP3
207386_at,chr8,-65508529,CYP7B1
207387_s_at,chrX,30671476,GK
207389_at,chr17,4835592,GP1BA
207390_s_at,chr22,31477282,SMTN
207391_s_at,chr1,151171021,PIP5K1A
207393_at,chr6,55039071,HCRTR2
207394_at,chr19,53099937,ZNF137P
207395_at,chr6,26501495,BTN1A1
207396_s_at,chr3,-183960117,ALG3
207397_s_at,chr2,176957532,HOXD13
207399_at,chr3,133118790,BFSP2
207400_at,chr4,164265091,NPY5R
207401_at,chr1,214161844,PROX1
207402_at,chr19,-58944181,ZNF132
207403_at,chrX,-107975727,IRS4
207404_s_at,chr6,87647024,HTR1E
207405_s_at,chr5,68667281,RAD17
207406_at,chr8,-59402737,CYP7A1
207408_at,chr3,38347445,SLC22A14
207409_at,chr5,-135282600,LECT2
207412_x_at,chr9,135957926,CELP
207413_s_at,chr3,-38589553,SCN5A
207414_s_at,chr15,-101844133,PCSK6
207415_at,chr2,-160797260,PLA2R1
207417_s_at,chr19,9473696,ZNF177
207419_s_at,chr22,-37621310,RAC2
207420_at,chr8,120079424,COLEC10
207421_at,chr16,-87921625,CA5A
207423_s_at,chr14,-70989078,ADAM20
207424_at,chr12,81110708,MYF5
207426_s_at,chr1,-173152870,TNFSF4
207427_at,chr22,51176652,ACR
207429_at,chr6,-160637794,SLC22A2
207433_at,chr1,-206940948,IL10
207434_s_at,chr11,-117690790,FXYD2
207438_s_at,chr15,-75890424,SNUPN
207441_at,chr4,71248795,SMR3B
207442_at,chr17,38171614,CSF3
207443_at,chr6,108487215,NR2E1
207444_at,chr3,38307298,SLC22A13
207445_s_at,chr3,45927996,CCR9
207446_at,chr4,-38825329,TLR6
207447_s_at,chr12,-86373037,MGAT4C
207450_s_at,chr7,39017609,POU6F2
207451_at,chr14,-37049216,NKX2-8
207452_s_at,chr11,98891706,CNTN5
207454_at,chr1,-37261128,GRIK3
207455_at,chr3,152552736,P2RY1
207456_at,chr8,76452203,HNF4G
207457_s_at,chr6,31683133,LY6G6D
207460_at,chr19,544034,GZMM
207462_at,chrX,14547420,GLRA2
207463_x_at,chr9,33750464,PRSS3
207466_at,chr11,68451983,GAL
207468_s_at,chr10,-99526508,SFRP5
207469_s_at,chrX,-15402924,PIR
207473_at,chr6,-33762449,MLN
207475_at,chr4,-120238405,FABP2
207480_s_at,chr15,-37183222,MEIS2
207482_at,chr20,-44002520,TP53TG5
207484_s_at,chr6,-3227410,EHMT2
207494_s_at,chr6,35227510,ZNF76
207495_at,chr4,-13369347,RAB28
207497_s_at,chr11,59856137,MS4A2
207498_s_at,chr22,-42522501,CYP2D6
207500_at,chr11,-104864967,CASP5
207501_s_at,chr3,-191857182,FGF12
207502_at,chr1,42619092,GUCA2B
207503_at,chr6,-167786577,TCP10
207504_at,chr16,66878841,CA7
207505_at,chr4,-82009837,PRKG2
207506_at,chr10,131934639,GLRX3
207507_s_at,chr2,-176040986,ATP5G3
207509_s_at,chr19,55014013,LAIR2
207510_at,chr14,96722547,BDKRB1
207513_s_at,chr9,104161163,ZNF189
207515_s_at,chr6,43484777,POLR1C
207516_at,chr15,-78916636,CHRNB4
207518_at,chr17,54911460,DGKE
207519_at,chr17,-28523378,SLC6A4
207522_s_at,chr17,-3827163,ATP2A3
207523_at,chr6,-32260475,C6orf10
207524_at,chr7,116593381,ST7
207525_s_at,chr19,-14588571,GIPC1
207526_s_at,chr2,102953717,IL1RL1
207527_at,chr1,160051360,KCNJ9
207529_at,chr8,-6912829,DEFA5
207530_s_at,chr9,-22002902,CDKN2B
207531_at,chr2,-208992861,CRYGC
207532_at,chr2,-208986331,CRYGD
207533_at,chr17,-32687399,CCL1
207534_at,chrX,30261848,MAGEB1
207535_s_at,chr10,104155427,NFKB2
207536_s_at,chr1,-7975931,TNFRSF9
207537_at,chrX,-54959590,PFKFB1
207539_s_at,chr5,132009678,IL4
207541_s_at,chr1,-11126676,EXOSC10
207543_s_at,chr10,-74766980,P4HA1
207545_s_at,chr14,-73741918,NUMB
207546_at,chr13,-114303122,ATP4B
207551_s_at,chrX,11776278,MSL3
207553_at,chr8,-54138276,OPRK1
207555_s_at,chr19,-3594504,TBXA2R
207557_s_at,chr1,237205702,RYR2
207558_s_at,chr4,-111538580,PITX2
207559_s_at,chrX,-70459474,ZMYM3
207560_at,chr15,85427913,SLC28A1
207561_s_at,chr7,150745379,ASIC3
207562_at,chr4,-952672,DGKQ
207563_s_at,chrX,70752912,OGT
207565_s_at,chr1,181002561,MR1
207567_at,chr17,26800664,SLC13A2
207568_at,chr8,-42607780,CHRNA6
207569_at,chr6,-117609530,ROS1
207570_at,chrX,585079,SHOX
207574_s_at,chr19,2476123,GADD45B
207575_at,chr15,72947038,GOLGA6B
207576_x_at,chr20,3052266,OXT
207577_at,chr5,-147861115,HTR4
207579_at,chrX,30248553,MAGEB3
207581_s_at,chrX,30260057,MAGEB4
207582_at,chr1,70385005,PIN1P1
207583_at,chr12,-39945022,ABCD2
207584_at,chr6,-160952515,LPA
207585_s_at,chr14,-50085407,RPL36AL
207586_at,chr7,-155595558,SHH
207587_at,chr2,-209025464,CRYGA
207588_at,,,
207589_at,chr5,159343740,ADRA1B
207592_s_at,chr19,589893,HCN2
207593_at,chr11,119019750,ABCG4
207595_s_at,chr8,22022653,BMP1
207597_at,chr8,39442087,ADAM18
207598_x_at,chr7,-152343587,XRCC2
207599_at,chr11,-102447566,MMP20
207600_at,chr19,-50818765,KCNC3
207601_at,chr4,-70592686,SULT1B1
207602_at,chr4,-68686594,TMPRSS11D
207605_x_at,chr7,-64434830,ZNF117
207607_at,chr11,-2289728,ASCL2
207609_s_at,chr15,75041184,CYP1A2
207610_s_at,chr19,-14843205,EMR2
207611_at,chr6,-27775257,HIST1H2BL
207612_at,chr10,102222812,WNT8B
207614_s_at,chr7,148395933,CUL1
207615_s_at,chr16,-90095316,C16orf3
207618_s_at,chr2,219524379,BCS1L
207619_at,chr1,32083301,HCRTR1
207621_s_at,chr17,-17408877,PEMT
207624_s_at,chrX,-38143702,RPGR
207625_s_at,chr20,32077928,CBFA2T2
207626_s_at,chr8,17396286,SLC7A2
207627_s_at,chr12,-51487539,TFCP2
207628_s_at,chr7,73097898,WBSCR22
207629_s_at,chr1,-155916630,ARHGEF2
207630_s_at,chr10,35464515,CREM
207631_at,chr17,41277600,NBR2
207633_s_at,chr9,113431051,MUSK
207634_at,chr2,-242792033,PDCD1
207635_s_at,chr1,-210851657,KCNH1
207636_at,chr3,-167159723,SERPINI2
207639_at,chr7,72848109,FZD9
207640_x_at,chr16,2521500,NTN3
207641_at,chr17,-16842398,TNFRSF13B
207642_at,chr17,-40336078,HCRT
207643_s_at,chr12,-6437923,TNFRSF1A
207644_at,chr8,-145699115,FOXH1
207645_s_at,chr1,146714291,CHD1L
207647_at,chrY,-26191940,CDY1
207648_at,chrX,100474933,DRP2
207649_at,chr17,-39576809,KRT37
207651_at,chr3,-150915619,GPR171
207652_s_at,chr12,-108681821,CMKLR1
207653_at,chr1,47901689,FOXD2
207655_s_at,chr10,-97951455,BLNK
207658_s_at,chr14,29236278,FOXG1
207659_s_at,chr3,39509070,MOBP
207662_at,chr22,19744226,TBX1
207663_x_at,chrX,,GAGE3
207664_at,chr8,-39601255,ADAM2
207665_at,chr14,70918874,ADAM21
207666_x_at,chrX,-48205863,SSX3
207669_at,chr12,-52708085,KRT83
207670_at,chr12,-52753790,KRT85
207671_s_at,chr11,61717356,BEST1
207672_at,chr12,106976685,RFX4
207673_at,chr19,-36316274,NPHS1
207674_at,chr19,55385549,FCAR
207676_at,chr18,55102917,ONECUT2
207677_s_at,chr22,37257030,NCF4
207678_s_at,chr5,-157052687,SOX30
207679_at,chr2,-223064606,PAX3
207681_at,chrX,-70835766,CXCR3
207682_s_at,chr6,168418553,KIF25
207683_at,chr17,26850959,FOXN1
207684_at,chr16,-30097115,TBX6
207685_at,chr22,25595825,CRYBB3
207688_s_at,chr12,57828543,INHBC
207689_at,chr11,-67398774,TBX10
207690_at,chr1,-110602997,ALX3
207692_s_at,chr15,89346674,ACAN
207693_at,chr2,-152689286,CACNB4
207694_at,chrX,82763269,POU3F4
207695_s_at,chrX,-130418140,IGSF1
207696_at,chr6,96463845,FUT9
207698_at,chr6,-168185219,C6orf123
207706_at,chr1,-216347292,USH2A
207707_s_at,chr3,-10342615,SEC13
207708_at,chr17,-7999218,ALOXE3
207709_at,chr1,57110990,PRKAA2
207710_at,chr1,152658599,LCE2B
207712_at,chr21,-11057796,BAGE
207714_s_at,chr11,75273101,SERPINH1
207715_at,chr2,-209007297,CRYGB
207716_at,chr17,-39592621,KRT38
207717_s_at,chr12,-32943680,PKP2
207718_x_at,chr19,-41381344,CYP2A7
207720_at,chr1,153232179,LOR
207722_s_at,chr19,-1985447,BTBD2
207723_s_at,chr12,-10568183,KLRC3
207725_at,chr4,147560045,POU4F2
207726_at,chr14,76837690,ESRRB
207727_s_at,chr1,-45794914,MUTYH
207729_at,chr5,-26880709,CDH9
207732_s_at,chrX,69664705,DLG3
207736_s_at,chr16,-11361714,TNP2
207737_at,,,
207738_s_at,chr2,-183789605,NCKAP1
207739_s_at,chrX,49207149,GAGE2C
207740_s_at,chr19,-50410084,NUP62
207741_x_at,chr16,1290678,TPSAB1
207742_s_at,chr9,-127284703,NR6A1
207745_at,chr11,-67286418,CABP2
207752_x_at,chr12,-11504757,PRB1
207753_at,chr19,57862645,ZNF304
207754_at,chr12,26126688,RASSF8
207760_s_at,chr12,-124808957,NCOR2
207762_at,chr6,-160888218,LPAL2
207763_at,chr1,-153509623,S100A5
207766_at,chr14,-50796720,CDKL1
207767_s_at,chr2,-73518057,EGR4
207769_s_at,chrX,48755195,PQBP1
207771_at,chr16,31494439,SLC5A2
207772_s_at,chr12,3600364,PRMT8
207776_s_at,chr10,18429742,CACNB2
207777_s_at,chr2,231090445,SP140
207778_at,chr2,-79362629,REG1P
207780_at,chr9,105757593,CYLC2
207785_s_at,chr4,26322429,RBPJ
207787_at,chr17,-39519746,KRT33B
207789_s_at,chr7,154002347,DPP6
207792_at,chr1,29138654,OPRD1
207793_s_at,chr1,29241088,EPB41
207795_s_at,chr12,10460417,KLRD1
207800_at,chr14,64932217,AKAP5
207802_at,chr6,-49695092,CRISP3
207803_s_at,chr4,71108333,CSN3
207804_s_at,chr9,137772658,FCN2
207805_s_at,chr12,122326637,PSMD9
207808_s_at,chr3,-93591881,PROS1
207810_at,chr1,-197008321,F13B
207811_at,chr17,-39017430,KRT12
207813_s_at,chr17,-72858619,FDXR
207814_at,chr8,-6782216,DEFA6
207815_at,chr4,74719013,PF4V1
207816_at,chr12,-48961467,LALBA
207817_at,chr9,-21140631,IFNW1
207819_s_at,chr7,-87031361,ABCB4
207820_at,chr4,-100197523,ADH1A
207821_s_at,chr8,-141668481,PTK2
207823_s_at,chr6,2913840,AIF1
207824_s_at,chr16,29817855,MAZ
207825_s_at,chr7,31003636,GHRHR
207826_s_at,chr1,-23884421,ID3
207830_s_at,chr1,28157325,PPP1R8
207839_s_at,chr9,35829222,TMEM8B
207840_at,chr1,-145695798,CD160
207841_at,chrX,-57162083,SPIN2A
207844_at,chr5,131993865,IL13
207845_s_at,chr4,-145915727,ANAPC10
207846_at,chr3,-87308783,POU1F1
207847_s_at,chr1,-155158300,MUC1
207848_at,chr20,-3063202,AVP
207849_at,chr4,-123372626,IL2
207850_at,chr4,-74902312,CXCL3
207852_at,chr4,-74861359,CXCL5
207853_s_at,chr5,-176047210,SNCB
207854_at,chr4,-144792019,GYPE
207857_at,chr19,55085257,LILRA2
207858_s_at,chr1,-155259084,PKLR
207859_s_at,chr8,42552562,CHRNB3
207861_at,chr16,57392695,CCL22
207862_at,chr11,118827008,UPK2
207863_at,chr3,119298523,ADPRH
207864_at,chr2,-167260083,SCN7A
207865_s_at,chr1,-40223903,BMP8B
207867_at,chr7,-127250346,PAX4
207868_at,chr8,-27317278,CHRNA2
207872_s_at,chr19,55105041,LILRA1
207874_s_at,chr1,196857144,CFHR4
207875_at,,,
207876_s_at,chr7,128470483,FLNC
207877_s_at,chr1,-224415036,NVL
207878_at,chr12,-53161939,KRT76
207879_at,,,
207880_at,chr17,42836568,ADAM11
207881_at,,,
207882_at,,,
207884_at,chr17,7905988,GUCY2D
207885_at,chrX,16668281,S100G
207886_s_at,chr7,-93053799,CALCR
207888_at,,,
207890_s_at,chr16,3096682,MMP25
207891_s_at,chrX,-152713123,HAUS7
207892_at,chrX,135730336,CD40LG
207893_at,chrY,-2654896,SRY
207895_at,chr11,-64812295,NAALADL1
207897_at,chr7,-30691559,CRHR2
207899_at,chr17,-47035918,GIP
207900_at,chr16,57438679,CCL17
207901_at,chr5,-158741791,IL12B
207904_s_at,chr5,96294156,LNPEP
207906_at,chr5,131396347,IL3
207907_at,chr19,-6663148,TNFSF14
207908_at,chr12,-53038342,KRT2
207910_at,chr11,61957710,SCGB1D1
207911_s_at,chr15,-43524793,TGM5
207912_s_at,chrY,-25275502,DAZ1
207913_at,chr19,41620353,CYP2F1
207914_x_at,chr7,27282164,EVX1
207915_at,,,
207916_at,chrUn,,LOC100996822
207917_at,chr10,74870210,NUDT13
207918_s_at,chrY,9304564,TSPY1
207919_at,chr11,3666361,ART1
207922_s_at,chr4,1283672,MAEA
207925_at,chr20,-23856572,CST5
207927_at,chr10,-92500576,HTR7
207929_at,chrX,16141424,GRPR
207930_at,chr9,138413284,LCN1
207932_at,chr9,21409146,IFNA8
207933_at,chr16,-21208773,ZP2
207934_at,chr22,29834572,RFPL1
207935_s_at,chr17,-39657233,KRT13
207936_x_at,chr22,32750872,RFPL3
207938_at,chr8,75736772,PI15
207944_at,chr7,-97614013,OCM2
207945_s_at,chr17,-80200537,CSNK1D
207949_s_at,chr7,-8153404,ICA1
207951_at,chr4,-70820974,CSN2
207952_at,chr5,-131877136,IL5
207953_at,,,
207955_at,chr9,-34661893,CCL27
207958_at,chr4,-70454135,UGT2A1
207959_s_at,chr17,11786219,DNAH9
207960_at,,,
207962_at,chr6,44126548,CAPN11
207963_at,chr6,,KIF25-AS1
207964_x_at,chr9,-21186618,IFNA4
207965_at,chr10,-71331791,NEUROG3
207967_at,chr1,150039342,VPS45
207972_at,chr5,-151202074,GLRA1
207974_s_at,chr5,-133492082,SKP1
207981_s_at,chr1,-216676588,ESRRG
207982_at,chr6,-26107640,HIST1H1T
207985_at,,,
207987_s_at,chr8,-25276774,GNRH1
207992_s_at,chr11,10477481,AMPD3
207995_s_at,chr19,7828035,CLEC4M
208000_at,chr8,143916217,GML
208002_s_at,chr1,-6324332,ACOT7
208003_s_at,chr16,69599869,NFAT5
208004_at,chr4,71263599,PROL1
208005_at,chr17,8924859,NTN1
208006_at,chr5,169532917,FOXI1
208007_at,chr16,66995132,CES3
208009_s_at,chr1,3371147,ARHGEF16
208012_x_at,chr2,-231033645,SP110
208013_s_at,chr11,-125542229,ACRV1
208018_s_at,chr20,30639991,HCK
208019_at,chrX,47229999,ZNF157
208021_s_at,chr4,-39289069,RFC1
208022_s_at,chr9,-99262395,CDC14B
208023_at,chr1,-1146706,TNFRSF4
208024_s_at,chr22,18893736,DGCR6
208025_s_at,chr12,66218240,HMGA2
208026_at,chr6,26240654,HIST1H4F
208027_s_at,chr10,-98124363,TLL2
